"學年度","學校代碼","學校名稱","等級","僑居地","在學學生人數_男","在學學生人數_女","新生","舊生","上學年度畢業生人數_男","上學年度畢業生人數_女"
112,0001,國立政治大學,博士,馬來西亞,6,3,1,8,0,0
112,0001,國立政治大學,博士,新加坡,0,1,0,1,0,0
112,0001,國立政治大學,碩士,緬甸,1,2,1,2,0,1
112,0001,國立政治大學,碩士,印尼,0,3,1,2,1,0
112,0001,國立政治大學,碩士,日本,1,0,0,1,0,0
112,0001,國立政治大學,碩士,馬來西亞,14,33,12,35,6,7
112,0001,國立政治大學,碩士,菲律賓,1,1,1,1,0,0
112,0001,國立政治大學,碩士,泰國,0,4,0,4,0,0
112,0001,國立政治大學,碩士,越南,2,0,1,1,0,0
112,0001,國立政治大學,碩士,加拿大,0,1,0,1,2,0
112,0001,國立政治大學,碩士,多明尼加,0,1,0,1,0,0
112,0001,國立政治大學,碩士,貝里斯,0,0,0,0,1,0
112,0001,國立政治大學,碩士,美國,3,0,1,2,0,1
112,0001,國立政治大學,碩士,巴西,0,0,0,0,0,1
112,0001,國立政治大學,碩士,巴拉圭,1,0,0,1,0,0
112,0001,國立政治大學,學士,緬甸,4,20,16,8,0,1
112,0001,國立政治大學,學士,印尼,13,40,16,37,0,14
112,0001,國立政治大學,學士,日本,4,9,3,10,1,1
112,0001,國立政治大學,學士,南韓,2,5,2,5,0,1
112,0001,國立政治大學,學士,馬來西亞,74,145,50,169,12,37
112,0001,國立政治大學,學士,菲律賓,0,2,0,2,0,0
112,0001,國立政治大學,學士,新加坡,0,3,1,2,0,0
112,0001,國立政治大學,學士,泰國,2,10,3,9,0,0
112,0001,國立政治大學,學士,越南,12,13,5,20,2,4
112,0001,國立政治大學,學士,南非,0,1,1,0,0,0
112,0001,國立政治大學,學士,尼加拉瓜,0,0,0,0,1,0
112,0001,國立政治大學,學士,美國,1,2,1,2,0,0
112,0001,國立政治大學,學士,阿根廷,0,2,0,2,1,0
112,0001,國立政治大學,學士,玻利維亞,1,0,1,0,0,0
112,0001,國立政治大學,學士,智利,0,1,0,1,0,1
112,0002,國立清華大學,博士,馬來西亞,9,1,4,6,1,1
112,0002,國立清華大學,博士,泰國,0,1,0,1,0,0
112,0002,國立清華大學,碩士,緬甸,1,3,0,4,1,0
112,0002,國立清華大學,碩士,印尼,4,2,2,4,1,0
112,0002,國立清華大學,碩士,日本,1,1,1,1,0,0
112,0002,國立清華大學,碩士,馬來西亞,22,29,13,38,10,3
112,0002,國立清華大學,碩士,菲律賓,1,0,0,1,0,0
112,0002,國立清華大學,碩士,泰國,0,3,1,2,0,0
112,0002,國立清華大學,碩士,葡萄牙,1,0,1,0,0,0
112,0002,國立清華大學,碩士,美國,1,0,0,1,0,0
112,0002,國立清華大學,碩士,玻利維亞,0,1,0,1,0,0
112,0002,國立清華大學,學士,緬甸,10,11,11,10,0,0
112,0002,國立清華大學,學士,印度,0,0,0,0,0,1
112,0002,國立清華大學,學士,印尼,66,51,34,83,3,5
112,0002,國立清華大學,學士,日本,10,5,3,12,1,1
112,0002,國立清華大學,學士,約旦,0,1,0,1,0,0
112,0002,國立清華大學,學士,南韓,3,4,2,5,0,0
112,0002,國立清華大學,學士,馬來西亞,78,77,36,119,12,19
112,0002,國立清華大學,學士,菲律賓,1,3,1,3,0,1
112,0002,國立清華大學,學士,泰國,4,5,1,8,0,3
112,0002,國立清華大學,學士,越南,5,4,3,6,1,1
112,0002,國立清華大學,學士,南非,3,0,1,2,0,0
112,0002,國立清華大學,學士,挪威,0,1,0,1,0,0
112,0002,國立清華大學,學士,西班牙,0,1,0,1,0,1
112,0002,國立清華大學,學士,加拿大,3,3,1,5,0,0
112,0002,國立清華大學,學士,多明尼加,1,0,0,1,0,0
112,0002,國立清華大學,學士,墨西哥,0,1,1,0,0,0
112,0002,國立清華大學,學士,美國,1,0,0,1,0,0
112,0002,國立清華大學,學士,阿根廷,3,0,1,2,1,0
112,0002,國立清華大學,學士,巴西,0,1,1,0,0,0
112,0002,國立清華大學,學士,哥倫比亞,1,0,0,1,0,0
112,0002,國立清華大學,學士,巴拉圭,1,0,0,1,0,0
112,0002,國立清華大學,學士,秘魯,1,0,0,1,0,0
112,0003,國立臺灣大學,博士,印尼,1,2,1,2,0,0
112,0003,國立臺灣大學,博士,南韓,1,0,0,1,0,0
112,0003,國立臺灣大學,博士,馬來西亞,16,11,7,20,1,1
